filename,play_count,like_count
1.jpg,11219325,202026
2.jpg,830,22
3.jpg,10088594,0
4.jpg,12191351,149980
5.jpg,4248839,260412
6.jpg,3614171,139207
7.jpg,18957536,284452
8.jpg,248599,6877
9.jpg,4860516,38408
10.jpg,51724360,690768
11.jpg,58043575,540078
12.jpg,150329,0
13.jpg,570852,1656
14.jpg,1955020,33094
15.jpg,3121066,38409
16.jpg,4584010,45113
17.jpg,4050906,17515
18.jpg,2385481,0
19.jpg,667363,15464
20.jpg,5747,69
21.jpg,1545482,33331
22.jpg,1941027,35385
23.jpg,73075241,652145
24.jpg,4294931,0
25.jpg,997912,1629
26.jpg,26006644,457260
27.jpg,92748499,1536471
28.jpg,187836,1350
29.jpg,11089692,106692
30.jpg,404168,12709
31.jpg,5058168,208001
32.jpg,19444108,509288
33.jpg,1684665,27368
34.jpg,6196,137
35.jpg,2214884,21809
36.jpg,205913,2485
37.jpg,14679237,348286
38.jpg,10805213,141540
39.jpg,2844423,46202
40.jpg,71472,6878
41.jpg,71472,6892
42.jpg,24447,663
43.jpg,1252360,39461
44.jpg,523519,10879
45.jpg,13,0
46.jpg,15939902,233395
47.jpg,3278144,27768
48.jpg,22268,1531
49.jpg,50707,1267
50.jpg,28588,1053
51.jpg,9480487,0
52.jpg,25822,758
53.jpg,17165651,706478
54.jpg,664034,11953
55.jpg,459045,4174
56.jpg,2002753,26420
57.jpg,2266087,0
58.jpg,416288,4859
59.jpg,1033344,12730
60.jpg,95736,848
61.jpg,12196073,0
62.jpg,459045,4174
63.jpg,31343969,445454
64.jpg,16616,196
65.jpg,1701930,108662
66.jpg,3296016,102122
67.jpg,416417,0
68.jpg,411976,5424
69.jpg,118470,1292
70.jpg,95738,848
71.jpg,365213,4833
72.jpg,3770377,49706
73.jpg,13390,0
74.jpg,482175,3083
75.jpg,2543766,13450
76.jpg,2897829,44111
77.jpg,53238978,988410
78.jpg,331206,3514
79.jpg,13547897,0
80.jpg,176563,5596
81.jpg,613686,13073
82.jpg,508468,17787
83.jpg,425169,0
84.jpg,103171,1521
85.jpg,4586,111
86.jpg,5183424,88236
87.jpg,533,10
88.jpg,52319,1180
89.jpg,428735,0
90.jpg,5267662,120170
91.jpg,220247,3385
92.jpg,3575486,14087
93.jpg,9627110,517284
94.jpg,5493569,130289
95.jpg,5731,0
96.jpg,465602,8835
97.jpg,4926218,147781
98.jpg,1731532,47969
99.jpg,14634684,175287
100.jpg,595412,19587
101.jpg,14634709,175287
102.jpg,1731532,47969
103.jpg,22582,0
104.jpg,725001,8974
105.jpg,10959223,127224
106.jpg,10,1
107.jpg,148938,1755
108.jpg,1040654,37332
109.jpg,466591,0
110.jpg,1890908,79542
111.jpg,272181,1901
112.jpg,1250786,13648
113.jpg,651369,14555
114.jpg,391844,4089
115.jpg,140742,0
116.jpg,93467,4499
117.jpg,178564,3473
118.jpg,14303410,595574
119.jpg,174128,4506
120.jpg,9664776,105843
121.jpg,608,0
122.jpg,178564,3473
123.jpg,166667,6026
124.jpg,299204,14940
125.jpg,121246,2612
126.jpg,130698,5108
127.jpg,1893778,0
128.jpg,112730,2057
129.jpg,34841,722
130.jpg,40242,1103
131.jpg,9587954,412458
132.jpg,2231366,86111
133.jpg,82508,0
134.jpg,1340041,18694
135.jpg,236977,2814
136.jpg,4796643,59897
137.jpg,701467,17384
138.jpg,898602,19001
139.jpg,5894779,0
140.jpg,11145,76
141.jpg,5894782,0
142.jpg,2382944,103675
143.jpg,434072,14766
144.jpg,127131,603
145.jpg,1361,15
146.jpg,1576,157
147.jpg,22773,0
148.jpg,111480,1039
149.jpg,12300,707
150.jpg,133045,940
151.jpg,6623061,130562
152.jpg,2137368,112692
153.jpg,6688722,0
154.jpg,2201466,121702
155.jpg,4929757,64183
156.jpg,38274,221
157.jpg,316368,6389
158.jpg,18040,2259
159.jpg,128,0
160.jpg,57,1
161.jpg,81907,718
162.jpg,38274,221
163.jpg,105490,0
164.jpg,2137368,112692
165.jpg,2201466,121702
166.jpg,4929760,64183
167.jpg,126,2
168.jpg,5711,175
169.jpg,58,0
170.jpg,349371,16782
171.jpg,4601,19
172.jpg,1369282,47277
173.jpg,1220130,21919
174.jpg,57437,5543
175.jpg,45744,0
176.jpg,1361130,63993
177.jpg,460,12
