filename,play_count,like_count
1.jpg,109070,876
2.jpg,1887807,77782
3.jpg,13105,213
4.jpg,13,0
5.jpg,10324,149
6.jpg,150644,3025
7.jpg,740,6
8.jpg,101369,1172
9.jpg,60590,664
10.jpg,377903,6597
11.jpg,28109,313
12.jpg,1029,14
13.jpg,2937,27
14.jpg,695029,33729
15.jpg,10331464,42207
16.jpg,9110366,237077
17.jpg,70789,512
18.jpg,176,3
19.jpg,1287953,0
20.jpg,14017,243
21.jpg,14021,243
22.jpg,314,3
23.jpg,272453,0
24.jpg,1095511,34854
25.jpg,10062,98
26.jpg,109232,963
27.jpg,235276,2273
28.jpg,404598,24998
29.jpg,569872,13838
30.jpg,103169,0
31.jpg,356,9
32.jpg,24041,266
33.jpg,105957,2912
34.jpg,100811,473
35.jpg,1615,41
36.jpg,90539,1929
37.jpg,42952,249
38.jpg,91893,1825
39.jpg,246663,4605
40.jpg,58483,421
41.jpg,440,11
42.jpg,12928,1082
43.jpg,38048,488
44.jpg,117083,1461
45.jpg,24236,281
46.jpg,58627,3330
47.jpg,5524,0
48.jpg,137338,5448
49.jpg,5206,32
50.jpg,61847,1364
51.jpg,14021,243
52.jpg,37115,209
53.jpg,1815354,0
54.jpg,65473,374
55.jpg,315,3
56.jpg,373625,4178
57.jpg,271383,3918
58.jpg,437,8
59.jpg,26497,0
60.jpg,1069,31
61.jpg,437,8
62.jpg,474979,3129
63.jpg,1069,31
64.jpg,941445,21007
65.jpg,1794,0
66.jpg,49690,518
67.jpg,437352,27476
68.jpg,463,3
69.jpg,28,1
70.jpg,85885,687
71.jpg,366758,0
72.jpg,143385,1174
73.jpg,100753,2351
74.jpg,768,6
75.jpg,104987,1439
76.jpg,116145,1005
77.jpg,13388,0
78.jpg,97333,671
79.jpg,10797041,45734
80.jpg,128021,6637
81.jpg,10797041,45734
82.jpg,91089,5148
83.jpg,18793,0
84.jpg,107247,962
85.jpg,24167,291
86.jpg,327612,3843
87.jpg,153134,14356
88.jpg,101668,5617
89.jpg,165,0
90.jpg,3681771,35220
91.jpg,328007,16586
92.jpg,828,6
93.jpg,104657,1577
94.jpg,95841,649
95.jpg,18702911,70198
96.jpg,1220,15
97.jpg,13951,132
98.jpg,998160,40891
99.jpg,4043614,26857
100.jpg,234155,6836
101.jpg,1220,15
102.jpg,4043614,26857
103.jpg,102244,1340
104.jpg,234156,6836
105.jpg,8,0
106.jpg,54877,612
107.jpg,3520429,45649
108.jpg,70117,1849
109.jpg,100884,413
110.jpg,137119,538
111.jpg,957186,52235
112.jpg,114040,2149
113.jpg,101115,733
114.jpg,42688,747
115.jpg,1536,13
116.jpg,77331,652
117.jpg,904926,35413
118.jpg,30646,438
119.jpg,518375,4508
120.jpg,68134,1121
121.jpg,95225,1668
122.jpg,57356,334
123.jpg,68134,1121
124.jpg,1798,30
125.jpg,121125,4830
126.jpg,118559,7696
127.jpg,42228,244
128.jpg,182283,1328
129.jpg,573,3
130.jpg,897492,52777
131.jpg,5138083,87567
132.jpg,1478,33
133.jpg,40732,391
134.jpg,69538,407
135.jpg,505114,1883
136.jpg,192067,3849
137.jpg,7,1
