filename,play_count,like_count
1.jpg,7428069,274942
2.jpg,214930,5434
3.jpg,973672,35305
4.jpg,7291,211
5.jpg,3226165,0
6.jpg,318341,15223
7.jpg,2181614,64046
8.jpg,1474,59
9.jpg,1444702,79858
10.jpg,1149146,41993
11.jpg,2723591,0
12.jpg,359953,7122
13.jpg,6363908,490382
14.jpg,1135842,34041
15.jpg,11483,370
16.jpg,334844,26067
17.jpg,1214,27
18.jpg,1842959,0
19.jpg,3505,119
20.jpg,48007,2547
21.jpg,48014,2548
22.jpg,5341336,213170
23.jpg,450292,26228
24.jpg,310,11
25.jpg,2156489,53323
26.jpg,65329,5334
27.jpg,1474,59
28.jpg,196716,15646
29.jpg,535,14
30.jpg,121105,4311
31.jpg,211797,14726
32.jpg,1214,27
33.jpg,1095,30
34.jpg,3136,91
35.jpg,485,7
36.jpg,77048,2270
37.jpg,5414,216
38.jpg,320,8
39.jpg,53509,5655
40.jpg,90879,3262
41.jpg,177396,0
42.jpg,432,17
43.jpg,18309,1087
44.jpg,2340,75
45.jpg,196716,15646
46.jpg,121105,4311
47.jpg,32843,0
48.jpg,1239,30
49.jpg,105207,3340
50.jpg,1055090,36006
51.jpg,28566,983
52.jpg,979,40
53.jpg,1984074,0
54.jpg,77188,2637
55.jpg,542600,590
56.jpg,13056,768
57.jpg,223,6
58.jpg,198836,6767
59.jpg,17,0
60.jpg,614,16
61.jpg,26246,1157
62.jpg,17,0
63.jpg,501911,108
64.jpg,1104488,2978
65.jpg,2370638,64507
66.jpg,1582,27
67.jpg,105149,3133
68.jpg,30261,0
69.jpg,13056,768
70.jpg,470655,28312
71.jpg,1335,44
72.jpg,1245369,96167
73.jpg,16329,1121
74.jpg,21129,0
75.jpg,2910,236
76.jpg,31381,779
77.jpg,2303749,254640
78.jpg,185329,8980
79.jpg,1070,25
80.jpg,1059842,0
81.jpg,1104488,2978
82.jpg,237782,12609
83.jpg,31381,779
84.jpg,1094550,0
85.jpg,51018,7283
86.jpg,385345,8637
87.jpg,4139,194
88.jpg,8622,292
89.jpg,1772324,77722
90.jpg,783959,0
91.jpg,130246,46269
92.jpg,144782,8941
93.jpg,401544,9430
94.jpg,1733149,72635
95.jpg,873469,49459
96.jpg,5817,0
97.jpg,38482,8227
98.jpg,65331,5334
99.jpg,464189,32552
100.jpg,6550231,91501
101.jpg,144782,8941
102.jpg,51018,7283
103.jpg,77188,2637
104.jpg,34286,0
105.jpg,84808,2753
106.jpg,115276,7019
107.jpg,470656,28312
108.jpg,1211539,161458
109.jpg,13312,301
110.jpg,16840,0
111.jpg,6550231,91501
112.jpg,2138,75
113.jpg,91473,3046
114.jpg,90027,12030
115.jpg,65331,5335
116.jpg,6481,0
117.jpg,259077,11328
118.jpg,47481,7611
119.jpg,5666,151
120.jpg,172240,8109
121.jpg,91473,3046
122.jpg,64354,0
123.jpg,336800,5741
124.jpg,19770,2305
125.jpg,1358,26
126.jpg,24706,891
127.jpg,23693,1046
128.jpg,341183,0
129.jpg,22895,720
130.jpg,90339,6521
131.jpg,181509,12395
132.jpg,536787,15119
133.jpg,2289924,98223
134.jpg,482383,0
135.jpg,16789,1375
