filename,play_count,like_count
1.jpg,1265878,45337
2.jpg,3992326,168103
3.jpg,520558,15226
4.jpg,65522,4262
5.jpg,961706,34043
6.jpg,1573794,49479
7.jpg,3237166,20600
8.jpg,5412093,63525
9.jpg,345484,8591
10.jpg,96116,0
11.jpg,4376898,190536
12.jpg,1098260,55353
13.jpg,385387,25606
14.jpg,1181300,51397
15.jpg,1975929,60507
16.jpg,11616239,488062
17.jpg,69300,506
18.jpg,620233,26033
19.jpg,2503318,108915
20.jpg,11836,482
21.jpg,1110426,21931
22.jpg,1983447,28580
23.jpg,5735100,223369
24.jpg,15074,317
25.jpg,2560436,103365
26.jpg,25231,928
27.jpg,264267,8632
28.jpg,58636,1543
29.jpg,1007207,27558
30.jpg,2036052,122370
31.jpg,580168,11741
32.jpg,41132,1713
33.jpg,783907,0
34.jpg,1362488,36006
35.jpg,14779,536
36.jpg,11836,486
37.jpg,1319441,31838
38.jpg,41447,2245
39.jpg,216155,6159
40.jpg,3131,0
41.jpg,234,18
42.jpg,222044,11677
43.jpg,2560436,103365
44.jpg,2898,0
45.jpg,2430505,119806
46.jpg,1963207,63084
47.jpg,137985,3414
48.jpg,915866,52198
49.jpg,2965146,54669
50.jpg,255924,0
51.jpg,1912338,96917
52.jpg,2055698,43386
53.jpg,437178,20542
54.jpg,33396,680
55.jpg,13644,527
56.jpg,3961,0
57.jpg,1270350,25005
58.jpg,41132,1713
59.jpg,1319447,31838
60.jpg,83036,1555
61.jpg,1270350,25005
62.jpg,7613106,437442
63.jpg,1600090,81682
64.jpg,935816,47523
65.jpg,6398,0
66.jpg,437189,20542
67.jpg,2388088,136685
68.jpg,2055698,43386
69.jpg,6385530,337992
70.jpg,177206,5756
71.jpg,186,0
72.jpg,489568,2374
73.jpg,410160,5782
74.jpg,1654068,136696
75.jpg,1325,28
76.jpg,934822,42401
77.jpg,1582,0
78.jpg,1097328,25328
79.jpg,397691,4738
80.jpg,277196,5724
81.jpg,410160,5782
82.jpg,1562884,40769
83.jpg,121209,2986
84.jpg,1097334,25328
85.jpg,3828,108
86.jpg,385902,4229
87.jpg,957568,31938
88.jpg,1362550,36007
89.jpg,489568,2374
90.jpg,780500,49111
91.jpg,221671,6218
92.jpg,136764,2589
93.jpg,241959,3778
94.jpg,134350,2178
