filename,play_count,like_count
1.jpg,2170439,3979
2.jpg,177738,314
3.jpg,29847,102
4.jpg,27660,76
5.jpg,14,0
6.jpg,78058,125
7.jpg,171414,195
8.jpg,294687,209
9.jpg,307672,2190
10.jpg,160080,4778
11.jpg,468691,18263
12.jpg,183846,305
13.jpg,246614,193
14.jpg,108103,264
15.jpg,98218,0
16.jpg,20643,436
17.jpg,346972,288
18.jpg,461392,631
19.jpg,118047,4676
20.jpg,991299,459
21.jpg,461392,631
22.jpg,183846,305
23.jpg,294687,209
24.jpg,346972,288
25.jpg,1541742,899
26.jpg,959813,44077
27.jpg,186870,307
28.jpg,92,0
29.jpg,347676,182
30.jpg,6691,18
31.jpg,269547,18309
32.jpg,62367,138
33.jpg,65581,224
34.jpg,256545,209
35.jpg,22752,90
36.jpg,991299,459
37.jpg,76012,449
38.jpg,48714,75
39.jpg,680611,1772
40.jpg,54554,104
41.jpg,43760,0
42.jpg,22697,653
43.jpg,232528,95
44.jpg,48714,75
45.jpg,1541742,899
46.jpg,1024838,2084
47.jpg,69353,0
48.jpg,39148,104
49.jpg,159056,5501
50.jpg,1395821,523
51.jpg,4468643,2054
52.jpg,986489,13498
53.jpg,3323,0
54.jpg,615332,11328
55.jpg,6042434,10768
56.jpg,19965,51
57.jpg,177823,142
58.jpg,462644,18531
59.jpg,27775,0
60.jpg,8164,67
61.jpg,253672,312
62.jpg,19968,51
63.jpg,16568,154
64.jpg,94903,1566
65.jpg,1328,0
66.jpg,159056,5503
67.jpg,269556,18310
68.jpg,18437,273
69.jpg,14431,349
70.jpg,25813,343
71.jpg,12636,0
72.jpg,509748,21368
73.jpg,3835532,7523
74.jpg,64043,163
75.jpg,61962,1464
76.jpg,231591,135
77.jpg,9613,0
78.jpg,86948,1290
79.jpg,13511,20
80.jpg,81225,349
81.jpg,81225,349
82.jpg,13511,20
83.jpg,99212,367
84.jpg,18681,0
85.jpg,231591,135
86.jpg,8479,130
87.jpg,400795,6560
88.jpg,15604,188
89.jpg,142387,5322
90.jpg,34739,0
91.jpg,455,2
92.jpg,1001,43
93.jpg,346872,16247
94.jpg,13781,647
95.jpg,103839,2839
96.jpg,6209,0
97.jpg,82098,147
98.jpg,44797,673
99.jpg,13794,183
100.jpg,58859,665
