filename,play_count,like_count
1.jpg,153484,1260
2.jpg,1322060,27627
3.jpg,563293,9439
4.jpg,9191352,0
5.jpg,460331,3419
6.jpg,11389,56
7.jpg,214223,1885
8.jpg,12790,145
9.jpg,403886,3938
10.jpg,115233,0
11.jpg,900330,6269
12.jpg,312858,4070
13.jpg,37813,118
14.jpg,134003,1191
15.jpg,96227,2066
16.jpg,105074,1070
17.jpg,2377837,47482
18.jpg,375044,2452
19.jpg,133758,1024
20.jpg,17532,188
21.jpg,390679,2660
22.jpg,11993,186
23.jpg,214227,1885
24.jpg,63893,334
25.jpg,581677,8085
26.jpg,84119,698
27.jpg,46952,1043
28.jpg,12933,64
29.jpg,187045,2800
30.jpg,2377837,47482
31.jpg,143865,966
32.jpg,208915,2679
33.jpg,99995,803
34.jpg,17387,111
35.jpg,99692,1357
36.jpg,328125,2101
37.jpg,315802,7274
38.jpg,375044,2452
39.jpg,68383,1631
40.jpg,98947,1573
41.jpg,4899,55
42.jpg,37822,118
43.jpg,13944,0
44.jpg,50068,621
45.jpg,489320,4660
46.jpg,299292,14144
47.jpg,97879,401
48.jpg,123340,1169
49.jpg,4399901,0
50.jpg,7347734,105057
51.jpg,401950,7050
52.jpg,148574,850
53.jpg,13495,52
54.jpg,375044,2452
55.jpg,11132,0
56.jpg,41284,731
57.jpg,67154,438
58.jpg,105074,1070
59.jpg,103592,744
60.jpg,11295,33
61.jpg,2802,0
62.jpg,292520,7968
63.jpg,117307,1043
64.jpg,418336,13335
65.jpg,61154,413
66.jpg,214227,1885
67.jpg,5184,0
68.jpg,91899,1005
69.jpg,74466,1394
70.jpg,390682,2660
71.jpg,33999,236
72.jpg,12015,186
73.jpg,14030,0
74.jpg,16774,206
75.jpg,373005,6666
76.jpg,7609460,168504
77.jpg,2588851,165323
78.jpg,195740,2931
79.jpg,1180808,0
80.jpg,257696,3291
81.jpg,15042,120
82.jpg,275,2
83.jpg,24192,199
84.jpg,104947,601
85.jpg,4382,0
86.jpg,328132,2101
87.jpg,127498,400
88.jpg,98953,1573
89.jpg,116458,596
90.jpg,174241,553
91.jpg,5843,0
92.jpg,126654,1586
93.jpg,195740,2931
