filename,play_count,like_count
1.jpg,9314072,60832
2.jpg,354539,3711
3.jpg,241829,10665
4.jpg,68045,776
5.jpg,384,0
6.jpg,46800,552
7.jpg,1194427,69087
8.jpg,6924414,185574
9.jpg,570831,695
10.jpg,7598062,630734
11.jpg,200105,1938
12.jpg,105530,322
13.jpg,21506,177
14.jpg,4058590,94745
15.jpg,10306788,100606
16.jpg,1516696,47492
17.jpg,289741,8435
18.jpg,4668660,84651
19.jpg,7519518,378084
20.jpg,226188,1507
21.jpg,1017785,60917
22.jpg,192543,1159
23.jpg,2998025,113599
24.jpg,399347,10964
25.jpg,226189,1507
26.jpg,107713,850
27.jpg,226660,2097
28.jpg,36423,1718
29.jpg,5085608,6590
30.jpg,2698718,136984
31.jpg,540708,372
32.jpg,0,0
33.jpg,366833,35886
34.jpg,512970,14775
35.jpg,13993,101
36.jpg,131847,5943
37.jpg,8261269,22794
38.jpg,0,0
39.jpg,1789980,17621
40.jpg,497288,4793
41.jpg,195786,6314
42.jpg,540708,372
43.jpg,4525732,202511
44.jpg,3434157,80560
45.jpg,0,0
46.jpg,3923,26
47.jpg,1569369,42838
48.jpg,1259434,4041
49.jpg,280283,1937
50.jpg,1432436,38213
51.jpg,6,0
52.jpg,62252,802
53.jpg,2439294,64485
54.jpg,177160,456
55.jpg,251507,8432
56.jpg,31098,342
57.jpg,0,0
58.jpg,107605,1005
59.jpg,497288,4793
60.jpg,2547252,144765
61.jpg,86817,8274
62.jpg,251507,8432
63.jpg,125248,1286
64.jpg,3806568,0
65.jpg,18966,51
66.jpg,261519,5824
67.jpg,497288,4793
68.jpg,10306790,100606
69.jpg,2547253,144765
70.jpg,4308318,0
71.jpg,198545,13858
72.jpg,399175,26939
73.jpg,1432436,38213
74.jpg,295552,11891
75.jpg,7170,69
76.jpg,809327,0
77.jpg,258,4
78.jpg,4883505,151334
79.jpg,37982994,2066250
80.jpg,392534,6102
81.jpg,4053,62
82.jpg,542573,629
83.jpg,88931,0
84.jpg,4972088,332649
85.jpg,5193927,10633
86.jpg,373568,20617
87.jpg,121776,2483
88.jpg,85029,446
89.jpg,6186689,0
90.jpg,1324901,77482
91.jpg,513774,5813
92.jpg,340345,2863
93.jpg,150860,2063
94.jpg,7291,131
95.jpg,2866451,0
96.jpg,1054734,39202
97.jpg,11337250,176418
98.jpg,2547253,144765
99.jpg,248023,15268
100.jpg,392534,6102
101.jpg,703613,806
102.jpg,513774,5822
103.jpg,1132006,27662
104.jpg,28675,854
105.jpg,4817444,0
106.jpg,62258,802
107.jpg,121776,2483
