filename,play_count,like_count
1.jpg,7142593,79303
2.jpg,569196,13451
3.jpg,240980,7665
4.jpg,3296046,102123
5.jpg,1230393,94550
6.jpg,10961,163
7.jpg,34429,247
8.jpg,73979,2347
9.jpg,14262,335
10.jpg,247953,2946
11.jpg,109107,6439
12.jpg,640065,16070
13.jpg,0,0
14.jpg,440329,808
15.jpg,595068,10622
16.jpg,2589119,116297
17.jpg,321089,4804
18.jpg,714992,13989
19.jpg,613657,2748
20.jpg,16105,1311
21.jpg,939452,9671
22.jpg,149878,3184
23.jpg,3919501,241750
24.jpg,69540,509
25.jpg,57026,14512
26.jpg,22265,271
27.jpg,87375,435
28.jpg,19575,207
29.jpg,16105,1311
30.jpg,946593,8548
31.jpg,640095,6908
32.jpg,2865467,52636
33.jpg,38864,427
34.jpg,171757,1093
35.jpg,125870,10350
36.jpg,47840,286
37.jpg,0,0
38.jpg,133682,7408
39.jpg,101406,851
40.jpg,452448,4844
41.jpg,2797443,80068
42.jpg,715500,19385
43.jpg,312989,0
44.jpg,141342,4587
45.jpg,1765605,14341
46.jpg,452448,4844
47.jpg,218209,4682
48.jpg,95312,908
49.jpg,25,0
50.jpg,6028,235
51.jpg,2897,18
52.jpg,3373687,51358
53.jpg,1101971,22879
54.jpg,118546,4613
55.jpg,8,0
56.jpg,2366934,14569
57.jpg,39402,330
58.jpg,456857,16711
59.jpg,523183,7543
60.jpg,499048,55178
61.jpg,270,0
62.jpg,456857,16711
63.jpg,118551,4613
64.jpg,499048,55178
65.jpg,523185,7543
66.jpg,223266,3773
67.jpg,35722,0
68.jpg,398379,45800
69.jpg,6726,62
70.jpg,354052,19683
71.jpg,3327,46
72.jpg,1898659,70947
73.jpg,15,0
74.jpg,78857,1150
75.jpg,649709,7743
76.jpg,308755,1883
77.jpg,1517134,7146
78.jpg,1145352,61841
79.jpg,3,0
80.jpg,100338,903
81.jpg,0,0
82.jpg,1145352,61841
83.jpg,1517134,7146
84.jpg,16108,1311
85.jpg,661873,88243
86.jpg,89936,2000
87.jpg,2,0
88.jpg,75399,1838
89.jpg,5582,211
90.jpg,902147,36104
91.jpg,120679,3813
92.jpg,24750,1413
93.jpg,7,0
94.jpg,19301,87
95.jpg,925050,46851
96.jpg,189524,257
97.jpg,39777,334
98.jpg,188872,5906
99.jpg,90000,0
100.jpg,13991,236
101.jpg,765233,15680
102.jpg,8399,770
103.jpg,90000,0
104.jpg,120422,3293
105.jpg,19301,87
106.jpg,17560490,1076654
107.jpg,547559,7810
108.jpg,560255,2882
109.jpg,561,0
110.jpg,189525,257
111.jpg,46223,470
112.jpg,13991,236
113.jpg,1444764,26944
114.jpg,8637912,799796
115.jpg,0,0
116.jpg,1811671,93727
117.jpg,725953,49166
118.jpg,182259,3575
119.jpg,64349,596
120.jpg,24623,311
121.jpg,44172,0
122.jpg,1811671,93727
123.jpg,8637914,799796
124.jpg,1456577,70440
125.jpg,267370,7607
126.jpg,285218,1888
127.jpg,0,0
128.jpg,5594,211
129.jpg,24623,311
130.jpg,433106,37428
131.jpg,52365,1060
132.jpg,5190102,48381
133.jpg,8,0
134.jpg,83814,281
135.jpg,558951,11953
136.jpg,7011,58
137.jpg,57247,7393
138.jpg,4809,15
139.jpg,0,0
140.jpg,385919,4865
141.jpg,558951,11953
142.jpg,1,0
143.jpg,137738,2845
144.jpg,140006,849
145.jpg,4,0
146.jpg,88026,491
147.jpg,420397,16349
148.jpg,426796,7743
149.jpg,16892,260
150.jpg,279181,2318
151.jpg,0,0
152.jpg,9483,200
153.jpg,271200,265
154.jpg,61684,970
155.jpg,51188,554
156.jpg,1836189,53862
157.jpg,20,0
158.jpg,122212,343
159.jpg,40952,2289
160.jpg,1478941,20236
161.jpg,61688,970
162.jpg,304143,3385
163.jpg,271200,265
164.jpg,8,0
165.jpg,39283,5156
166.jpg,66674,1029
167.jpg,543222,25330
168.jpg,1478941,20236
169.jpg,45477,459
170.jpg,370018,0
171.jpg,44990,170
172.jpg,90294,3695
173.jpg,21656,335
174.jpg,48936,940
175.jpg,562514,13214
176.jpg,0,0
177.jpg,30129,4104
178.jpg,4015677,106103
179.jpg,767920,25632
180.jpg,62799,1466
181.jpg,48938,940
182.jpg,0,0
183.jpg,62799,1466
184.jpg,6399709,476673
185.jpg,45253,1788
186.jpg,165700,2542
187.jpg,21633,863
188.jpg,0,0
189.jpg,1639091,75106
190.jpg,30134,4104
191.jpg,177502,8517
192.jpg,460597,5818
193.jpg,404227,13822
194.jpg,7095,0
195.jpg,2035,19
196.jpg,61035,1271
197.jpg,361978,7768
198.jpg,29087,250
199.jpg,6017,100
200.jpg,4,0
201.jpg,3365,6
202.jpg,186542,555
203.jpg,4,0
204.jpg,61035,1271
205.jpg,17493,504
206.jpg,902737,97682
207.jpg,296448,341
208.jpg,50403,923
209.jpg,18,0
210.jpg,162629,12871
211.jpg,40554,884
212.jpg,28772,1349
213.jpg,340448,3402
214.jpg,1133546,7792
215.jpg,0,0
216.jpg,1,0
217.jpg,20382,632
218.jpg,99205,473
219.jpg,439862,3401
220.jpg,95662,2315
221.jpg,28195,986
222.jpg,29630,1775
223.jpg,3,0
224.jpg,13011,0
225.jpg,19951,334
226.jpg,159090,3225
227.jpg,23005,3923
228.jpg,11,0
229.jpg,4,1
230.jpg,224,0
231.jpg,1809516,44825
232.jpg,279461,14077
233.jpg,10157,366
234.jpg,6958,102
235.jpg,99353,5670
236.jpg,65349,0
237.jpg,22942,6797
