filename,play_count,like_count
1.jpg,30749,198
2.jpg,2718624,7738
3.jpg,171575,2795
4.jpg,8931,71
5.jpg,6,0
6.jpg,5621146,207393
7.jpg,4425,18
8.jpg,524940,35201
9.jpg,4081050,152500
10.jpg,51669,1561
11.jpg,0,0
12.jpg,11276,40
13.jpg,24503,563
14.jpg,3020010,237898
15.jpg,7721327,293394
16.jpg,1144846,3628
17.jpg,1120595,0
18.jpg,2644,30
19.jpg,6423,137
20.jpg,17570252,324777
21.jpg,2938367,67349
22.jpg,489270,28734
23.jpg,11276,40
24.jpg,12501259,472815
25.jpg,39153634,85254
26.jpg,4518836,84658
27.jpg,62517,0
28.jpg,285,8
29.jpg,114,0
30.jpg,692135,36285
31.jpg,273043,802
32.jpg,2180,22
33.jpg,2021,17
34.jpg,8250,58
35.jpg,127,1
36.jpg,31,4
37.jpg,360343,3549
38.jpg,3504,30
39.jpg,1963,13
40.jpg,794002,5158
41.jpg,31,4
42.jpg,27018,83
43.jpg,379634,28495
44.jpg,2938367,67349
45.jpg,0,0
46.jpg,387049,9535
47.jpg,1301141,100085
48.jpg,1210117,93883
49.jpg,2631694,121210
50.jpg,826,10
51.jpg,399652,0
52.jpg,361427,21482
53.jpg,6837,50
54.jpg,680,14
55.jpg,2128226,46939
56.jpg,5152,37
57.jpg,2,0
58.jpg,2021,17
59.jpg,101101,277
60.jpg,308,1
61.jpg,361427,21482
62.jpg,680,14
63.jpg,3667847,0
64.jpg,101101,277
65.jpg,510,10
66.jpg,5152,37
67.jpg,64346,2071
68.jpg,2021,17
69.jpg,0,0
70.jpg,13249174,253113
71.jpg,308,1
72.jpg,4518836,84658
73.jpg,5598508,58668
74.jpg,116721,3586
75.jpg,5246251,0
76.jpg,1972,13
77.jpg,1974284,35121
78.jpg,1114,30
79.jpg,29408,1434
80.jpg,565672,14859
81.jpg,992140,0
82.jpg,400347,22701
83.jpg,692147,36287
84.jpg,794,4
85.jpg,5032,169
86.jpg,8353,71
87.jpg,603239,0
88.jpg,604,2
89.jpg,5701876,106661
90.jpg,15,1
